NAME,YEAR,MONTH,DAY,PERIOD,VALUE
NUEVA_RENCA-TG+TV_GNL_BGas_NuevaRenca_B,2026,5,9,1,49.315271
NUEVA_RENCA-TG+TV_GNL_AGas_NuevaRenca_A,2026,5,9,1,18.19682737
NUEVA_RENCA-TG+TV_GNL_FGas_GNLQuintero_F,2026,5,9,1,11.57469881
NUEVA_RENCA-TG+TV_GNL_EGas_NuevaRenca_E,2026,5,9,1,18.60890737
NUEVA_RENCA-TG+TV_GNL_CGas_NuevaRenca_C,2026,5,9,1,18.386
NUEVA_RENCA-TG+TV_GNL_DGas_NuevaRenca_D,2026,5,9,1,64.25850412
CANDELARIA_1_GNL_AGas_Colbun_A,2026,5,9,1,14.08998
CANDELARIA_2_GNL_AGas_Colbun_A,2026,5,9,1,14.08998
CANDELARIA_1_GNL_BGas_Colbun_B,2026,5,9,1,14.08998
CANDELARIA_2_GNL_BGas_Colbun_B,2026,5,9,1,14.08998
CANDELARIA_1_GNL_CGas_Colbun_C,2026,5,9,1,35.6093
CANDELARIA_2_GNL_CGas_Colbun_C,2026,5,9,1,35.6093
CANDELARIA_1_GNL_DGas_Colbun_D,2026,5,9,1,35.1363
CANDELARIA_2_GNL_DGas_Colbun_D,2026,5,9,1,35.1363
CANDELARIA_2_GNL_EGas_Colbun_E,2026,5,9,1,35.1363
CANDELARIA_1_GNL_EGas_Colbun_E,2026,5,9,1,35.1363
CANDELARIA_2_GNL_FGas_Colbun_F,2026,5,9,1,35.1363
CANDELARIA_1_GNL_FGas_Colbun_F,2026,5,9,1,35.1363
CANDELARIA_2_GNL_GGas_Colbun_G,2026,5,9,1,35.6093
CANDELARIA_1_GNL_GGas_Colbun_G,2026,5,9,1,35.6093
CANDELARIA_2_GNL_XGas_Colbun_X,2026,5,9,1,14.08998
CANDELARIA_1_GNL_XGas_Colbun_X,2026,5,9,1,14.08998
CANDELARIA_1_GN_AGas_Colbun_GN_A,2026,5,9,1,25.13596
CANDELARIA_2_GN_AGas_Colbun_GN_A,2026,5,9,1,25.13596
QUINTERO_1A_GN_AGas_Enel_GN_A,2026,5,9,1,1.6029
QUINTERO_1B_GN_AGas_Enel_GN_A,2026,5,9,1,1.6029
COLMITO_GNL_BGas_Colmito_B,2026,5,9,1,5.535668155
NUEVA_RENCA-FA_GNL_AGas_NuevaRenca_A,2026,5,9,1,18.19682737
NUEVA_RENCA-FA_GNL_BGas_NuevaRenca_B,2026,5,9,1,49.315271
NUEVA_RENCA-TG+TV_GN_AGas_NuevaRenca_GN_A,2026,5,9,1,7.686235815
NUEVA_RENCA-FA_GN_AGas_NuevaRenca_GN_A,2026,5,9,1,7.686235815
NUEVA_RENCA-FA_GNL_CGas_NuevaRenca_C,2026,5,9,1,18.386
NUEVA_RENCA-FA_GNL_DGas_NuevaRenca_D,2026,5,9,1,64.25850412
NUEVA_RENCA-FA_GNL_EGas_NuevaRenca_E,2026,5,9,1,18.60890737
CANDELARIA_1_GN_BGas_Colbun_GN_B,2026,5,9,1,24.91
CANDELARIA_2_GN_BGas_Colbun_GN_B,2026,5,9,1,24.91
QUINTERO_1A_GN_BGas_Enel_GN_B,2026,5,9,1,1.59775
QUINTERO_1B_GN_BGas_Enel_GN_B,2026,5,9,1,1.59775
NUEVA_RENCA-TG+TV_GN_BGas_NuevaRenca_GN_B,2026,5,9,1,7.68618721
NUEVA_RENCA-FA_GN_BGas_NuevaRenca_GN_B,2026,5,9,1,7.68618721
CANDELARIA_1_GN_CGas_Colbun_GN_C,2026,5,9,1,21.14078
CANDELARIA_2_GN_CGas_Colbun_GN_C,2026,5,9,1,21.14078
QUINTERO_1A_GN_CGas_Enel_GN_C,2026,5,9,1,1.59813
QUINTERO_1B_GN_CGas_Enel_GN_C,2026,5,9,1,1.59813
NUEVA_RENCA-TG+TV_GN_CGas_NuevaRenca_GN_C,2026,5,9,1,7.68623919
NUEVA_RENCA-FA_GN_CGas_NuevaRenca_GN_C,2026,5,9,1,7.68623919
CANDELARIA_1_GN_DGas_Colbun_GN_D,2026,5,9,1,34.82758
CANDELARIA_2_GN_DGas_Colbun_GN_D,2026,5,9,1,34.82758
QUINTERO_1A_GN_DGas_Enel_GN_D,2026,5,9,1,1.60395
QUINTERO_1B_GN_DGas_Enel_GN_D,2026,5,9,1,1.60395
NUEVA_RENCA-TG+TV_GN_DGas_NuevaRenca_GN_D,2026,5,9,1,0
NUEVA_RENCA-FA_GN_DGas_NuevaRenca_GN_D,2026,5,9,1,0
QUINTERO_1A_GN_EGas_Enel_GN_E,2026,5,9,1,1.6016
QUINTERO_1B_GN_EGas_Enel_GN_E,2026,5,9,1,1.6016
