NAME,YEAR,MONTH,DAY,PERIOD,VALUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALCO,2026,5,9,1,8038.53976111051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANGUE,2026,5,9,1,765.397037037019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGOSTURA,2026,5,9,1,1263.28456587013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPRESES,2026,5,9,1,586.181849688796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLCURA,2026,5,9,1,7.05539842395717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANUTILLAR,2026,5,9,1,7560.2223148148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEHUENCHE,2026,5,9,1,1260.54598653891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACHICURA,2026,5,9,1,121.997677658287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLBUN,2026,5,9,1,9264.72111440278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L_Maule,2026,5,9,1,7977.65331579116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELTORO,2026,5,9,1,11977.338943287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAPEL,2026,5,9,1,3549.97864673841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENEL_QUINTERO_GNL_INF,2026,5,9,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLBUN_QUINTERO_GNL_INF,2026,5,9,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAKAYA_MEJILLONES_GNL_INF,2026,5,9,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGIE_MEJILLONES_GNL_INF,2026,5,9,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENEL_MEJILLONES_GNL_INF,2026,5,9,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
